ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
E2CADD89812D3621,classic_bike,2023-03-25 16:54:11,2023-03-25 17:02:06,Racine Ave & 15th St,13304,Halsted St & Polk St,TA1307000121,41.861267,-87.656625,41.87184,-87.64664,member
C52D08D9FCEAF93D,electric_bike,2023-03-06 10:44:52,2023-03-06 11:12:47,Lake Park Ave & 47th St,TA1308000035,Wabash Ave & Roosevelt Rd,TA1305000002,41.809432268,-87.591828227,41.867227,-87.625961,casual
0D43E0FD0A15CA30,electric_bike,2023-03-23 16:16:28,2023-03-23 16:28:08,Talman Ave & Addison St,15632,N Shore Channel Trail & Argyle St,444,41.94665277,-87.69457221,41.97,-87.7,member
14F0F90A7B689F51,classic_bike,2023-03-13 06:09:52,2023-03-13 06:14:20,Clinton St & Washington Blvd,WL-012,Morgan St & Lake St*,chargingstx4,41.88338,-87.64117,41.88549170626906,-87.65228927135468,member
29B713B3315C60F0,electric_bike,2023-03-02 18:06:20,2023-03-02 18:11:12,Cityfront Plaza Dr & Pioneer Ct,13427,Dearborn St & Erie St,13045,41.8904965,-87.6220255,41.893992,-87.629318,member
AC68406A0F00F767,classic_bike,2023-03-09 08:01:39,2023-03-09 08:08:10,New St & Illinois St,TA1306000013,Wells St & Institute Pl,22001,41.89084704062381,-87.61861681938171,41.89737986072316,-87.63442039489746,member
FC7063DA668F25E7,classic_bike,2023-03-09 08:53:48,2023-03-09 08:55:45,Broadway & Barry Ave,13137,Clark St & Wellington Ave,TA1307000136,41.93758231600629,-87.6440978050232,41.9364968219,-87.6475386582,member
E6A22577A224E54F,classic_bike,2023-03-13 15:08:28,2023-03-13 15:19:11,Mies van der Rohe Way & Chicago Ave,13338,Larrabee St & Division St,KA1504000079,41.896944626370825,-87.62175768613815,41.90348607004,-87.6433534936,member
870F8FCCF35F7B41,classic_bike,2023-03-21 15:53:40,2023-03-21 15:58:48,Paulina St & Flournoy St,KA1504000104,Loomis St & Jackson Blvd,13206,41.87306108789792,-87.66913488507271,41.877945,-87.662007,member
02C6FA878E85A307,classic_bike,2023-03-19 16:49:17,2023-03-19 17:00:30,Wells St & Polk St,SL-011,Daley Center Plaza,TA1306000010,41.87273154226308,-87.63351649045944,41.884241,-87.629634,member
8E2E8472404F4EF9,electric_bike,2023-03-22 22:48:24,2023-03-22 22:56:20,Ravenswood Ave & Irving Park Rd,TA1307000149,Broadway & Waveland Ave,13325,41.954548359,-87.673872232,41.949074,-87.648636,member
524D16C9E4FAB272,electric_bike,2023-03-08 11:45:25,2023-03-08 11:48:46,Calumet Ave & 18th St,13102,Michigan Ave & 14th St,TA1307000124,41.857651,-87.61943983333333,41.864059,-87.623727,member
1C88795EEB4257C6,electric_bike,2023-03-29 16:11:08,2023-03-29 16:11:29,Clinton St & Washington Blvd,WL-012,Clinton St & Washington Blvd,WL-012,41.883224726,-87.641292453,41.88338,-87.64117,member
